CID,SMILES
157828914,CC(C)([C@@H](C(=O)O)NC(=O)[C@H](CCC(=O)NC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)CC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)NC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)CC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)NC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)CC(=O)CCSSCCOC(=O)NN)SSCCO
157033308,COC1=NC(=NC=C1C2=NN3C=CN=C3C(=C2)N4CC(C(C4)(F)F)O)OC
90739956,COC1=CC2=C(C=C1)N(C(=O)NCC2)C3CCN(CC3)C(=O)CN
112837185,COC1=CC=C(C=C1)OC2=NC=CC(=C2)CNC(=O)C3=C(N(N=C3)C4=CC=CC=C4F)C(F)(F)F
52150011,C1=CC=C2C(=C1)C(=C(N=N2)C#N)NC3=CC=C(C=C3)S(=O)(=O)N
108380602,CC1=C(C=C(C=C1)C(=O)NC2=C(C=CC(=C2F)F)N)O
136495518,C1=CC=C(C=C1)C(=O)NC2=CN=CC(=C2)C3=CC4=C(NC=C4C5=NC6=C(N5)C=NC=C6C7=CC=NC=C7)N=C3
47112304,CCCNC(=O)C(C)NC(=O)NC1=CC=CC=C1F
116872250,CC1=CC=C(O1)C2(COC2)C3CCC(CC3)C(=O)O
143476851,CC1(C=C(N(N1)C2=CC(=CC=C2)SC)NC(=O)OCC(Cl)(Cl)Cl)C(C)(C)C
172333921,CS(=O)(=O)NC1=CC=C(C=C1)C2CCN(CC2)[C@@H]3CCN(C3=O)CC4=CC=C(C=C4)Cl
65340999,CN1CCC(C1)CNCC2=CC(=C(C=C2)OC)C#N
16572533,CC1=CC=C(C=C1)OCC2=NC(=CS2)CC(=O)OC3=CC=CC4=CC=CC=C43
102136917,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC=C(C=C5)C6=NC7=CC=CC=C7S6
81141134,CC1=C(C=CC(=C1)Br)NC2CC(OC3=CC=CC=C23)(C)C
110388578,C1CCC2=C(C1)N=C(S2)CCC(=O)N3CCC4=CC=CC=C4C3
129711962,CC(C)C[C@@H](C(=O)N[C@H]1CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](C(=O)N[C@H](C(=O)N2)CC3=CC=CC=C3)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC1=O)CC4=CC=C(C=C4)O)C(C)C)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N)NC(=O)CNC(=O)CNC(=O)[C@H](CCCNC(=N)N)N
45191209,CC(C1=NC=NC=C1)NC(=O)C2=NNC(=C2)CN3C=CC4=CC=CC=C43
10563632,CC1=CC(=CC=C1)C(=O)NC(=O)/C=C/C2=CC=CC=C2
153771285,CC1=C(C=CC(=C1)CN2C(=O)C(N=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4(C=CC=C(C4C(=O)NC(C)CSC)I)C(=O)N
146320870,COC1=C(C=CC(=C1)C2=CN=C(N=C2)NC3=C(C=C(C=C3)N4CCN(CC4=O)C5COC5)OC)Cl
