tSNE1,tSNE2,group
10.860486,22.869476,PubChem candidate
61.62247,-54.028706,PubChem candidate
72.55502,35.796253,PubChem candidate
9.188693,101.98151,PubChem candidate
-87.54641,-18.937887,PubChem candidate
44.703476,-61.015568,PubChem candidate
-11.764108,-17.674889,PubChem candidate
-14.837678,-55.525215,PubChem candidate
9.253272,103.66956,PubChem candidate
-107.13726,-10.55152,PubChem candidate
37.973118,-70.86932,PubChem candidate
-5.6977396,94.632484,PubChem candidate
-15.526715,117.282646,PubChem candidate
-19.84948,-23.30221,PubChem candidate
11.071536,-5.154786,PubChem candidate
-79.675224,-61.06076,PubChem candidate
-55.984623,-54.91313,PubChem candidate
-15.721792,-51.08668,PubChem candidate
-12.67687,14.448167,PubChem candidate
-104.72934,-25.664934,PubChem candidate
-29.090488,-21.83319,PubChem candidate
-30.011559,-15.741188,PubChem candidate
-30.243004,-25.80402,PubChem candidate
78.010414,55.2373,PubChem candidate
-95.32564,-29.420883,PubChem candidate
106.54058,-6.597664,PubChem candidate
-52.90734,35.664055,PubChem candidate
-89.95458,-20.720078,PubChem candidate
-74.714966,6.1822906,PubChem candidate
-14.071087,17.074543,PubChem candidate
45.24532,-67.90852,PubChem candidate
-23.688452,71.68659,PubChem candidate
50.71599,-6.135601,PubChem candidate
-30.657488,-26.952295,PubChem candidate
-37.733906,-75.267,PubChem candidate
-37.16238,-46.153328,PubChem candidate
-107.97765,7.1503577,PubChem candidate
44.441345,15.947629,PubChem candidate
-103.2835,25.576107,PubChem candidate
6.601893,8.882132,PubChem candidate
13.796209,-104.55128,PubChem candidate
-61.847878,-64.554184,PubChem candidate
46.082527,102.84239,PubChem candidate
-1.6313571,118.993324,PubChem candidate
-9.786363,-1.2325013,PubChem candidate
34.48441,77.606476,PubChem candidate
-77.1136,-13.702033,PubChem candidate
24.42307,-58.041656,PubChem candidate
116.449455,28.694584,PubChem candidate
-101.16772,16.627459,PubChem candidate
111.76055,-12.784697,PubChem candidate
19.900482,0.47804588,PubChem candidate
-14.059699,-108.06268,PubChem candidate
-19.333797,-38.487362,PubChem candidate
3.1288965,17.14112,PubChem candidate
14.761802,-50.776726,PubChem candidate
-22.82796,-102.62757,PubChem candidate
16.659136,-33.253143,PubChem candidate
55.760784,25.095154,PubChem candidate
16.369236,-34.26147,PubChem candidate
7.8783984,49.21745,PubChem candidate
-90.00488,-21.722832,PubChem candidate
-15.465918,-87.39326,PubChem candidate
-30.46949,-70.83305,PubChem candidate
-54.609516,67.50276,PubChem candidate
-1.9858361,-101.58378,PubChem candidate
-107.50622,9.802314,PubChem candidate
-47.135677,-84.82522,PubChem candidate
6.2509365,17.920267,PubChem candidate
-71.76075,-9.082906,PubChem candidate
