record_index,lig_SMI,Sol_SMI,c_lig,c_HNO3,c_Metal_mM,D,logD
351,CCCCCCCCCCCC(=O)N(CC)CC,CC1=CC=CC=C1,0.3,5.0,,3.59058137818639,0.5551647741760672
352,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,3.0,119.5,1.79899715976628,0.255030477687516
353,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC(C)(C)C,CCCCCCCCCC(C)C,0.762491,4.9,,7.88998219928522,0.8970760233918128
354,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,0.582356,2.0,0.01,1.00042532207438,0.000184675759379702
355,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,CCCCCCCCCCCC,1.0,4.0,0.01,2.93709671143136,0.4679182470163208
356,CCCCCCN(CCCCCC)C(=O)C(CC)CCCC,CC1=CC=CC=C1,0.5,3.0,50.0,2.26940604854288,0.3559122080332726
357,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,3.5,193.133,7.86,0.895422546039408
358,CCCCCCN(CCCCCC)C(=O)C(CC)CCCC,CC1=CC=CC=C1,0.5,6.0,50.0,3.0037271843647,0.4776604850213967
359,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,5.0,0.1,12.6114099544882,1.100763643371112
360,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCC(C)CC(C)C ,2.00351,5.2,,40.5976708883239,1.608501118568232
361,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCC(C)CC(C)C ,0.503965,5.2,,3.46058792559826,0.5391498881431767
362,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.5,2.0,500.0,1.65461121157321,0.2186959627617429
363,CCCCCCCCN(CCCCCCCC)C(=O)CCCCCCC,CCCCCCCCCCCC,0.307262,2.0,,0.956840392369701,-0.01916049952100591
364,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,3.0,42.1277,5.2,0.7160033436347992
365,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,3.0,336.987,3.17261321033591,0.5014171282441098
366,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCC(C)CC(C)C ,0.0106718,0.01,50.0,0.147460551913873,-0.8313241449568525
367,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.5,2.0,100.0,2.11573236889692,0.3254607304414622
368,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.5,2.0,750.0,1.3924050632911,0.1437655938677714
369,CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,CCCCCCCCCCCC,0.203791,2.0,0.01,2.64492762787804,0.422413793103446
370,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,3.0,212.881,0.837151837899427,-0.07719576496805934
371,CCCCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.1,2.0,0.01,10.8,1.03342375548695
372,CCCCCCCCN(CCCCCCCC)C(=O)CCCCCCC,CCCCCCCCCCCC,0.0630013,2.0,,0.0473832908307404,-1.32437478025317
373,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,3.0,0.01,2.01,0.3031960574204888
374,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,0.5,3.5,,4.79,0.6803355134145632
375,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,0.5,3.5,,2.8,0.4471580313422192
376,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.1,3.0,1287.55,4.00298102962002,0.6023835319609966
377,CCCCCCN(CCCCCC)C(=O)CCCCC,CCCCCCCCCCCC,0.103041,6.5,,0.27346341428946,-0.5631007681788924
378,CCCCCCCCCCCC(=O)N(CC)CC,CC1=CC=CC=C1,0.401036,,,2.81306749405581,0.449180152337384
379,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.5,1.0,250.0,0.687160940325499,-0.162941534687887
380,CCCCCCCCCCCC(=O)N(CCCC)CCCC,CC1=CC=CC=C1,0.499659,,,4.51710256587957,0.6548599518166115
381,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,3.0,1089.28,0.749627144608969,-0.1251546956789149
382,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCC(C)CC(C)C ,1.0,0.75201,,0.164927552349201,-0.7827067862373733
383,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.5,3.0,1250.0,0.91320072332731,-0.03943375318603481
